GeneOrder	GroupName	GroupProteinFunction	GeneAccession	GeneLink	GeneProteinFunction	IsolateName	IsolateAccession	isIsolate	GroupNameGood	Fence	GenomeAcc	NcbiIsolateName	GenomeOrder	inNewPoxAlign
6	A2	VLTF-3	AAF14978.1	PROT:AAF14978.1	m90L	Myxoma virus strain Lausanne	AF170726	1	1	=	AF170726.2	Lausanne	32	Y
6	A2	VLTF-3	AFU77354.1	PROT:AFU77354.1	m90L	Myxoma virus isolate BRK 897	JX565564	1	1	=	JX565564.1	Aust/Brooklands/1-95	33	N
6	A2	VLTF-3	ABJ09013.1	PROT:ABJ09013.1	late transcription factor VLTF-3	Nile crocodilepox virus	DQ356948	1	1	=	DQ356948.1	Nile crocodilepox virus	34	Y
6	A2	VLTF-3	ABA00594.1	PROT:ABA00594.1	late transcription factor VLTF3	Orf virus strain NZ2	DQ184476	1	1	=	DQ184476.1	NZ2	36	N
6	A2	VLTF-3	AAR98302.1	PROT:AAR98302.1	ORF077 late transcription factor VLTF-3	Orf virus strain OV-SA00	AY386264	1	1	=	AY386264.1	OV-SA00	35	Y
6	A2	VLTF-3	AYN64686.1	PROT:AYN64686.1	putative A2L protein	Orthopoxvirus Abatino	MH816996	1	1	=	MH816996.1	Abatino	1	Y
6	A2	VLTF-3	AIZ77328.1	PROT:AIZ77328.1	putative late transcription factor VLTF-3	Parapoxvirus red deer/HL953	KM502564	1	1	=	KM502564.1	HL953	42	Y
6	A2	VLTF-3	AID46903.1	PROT:AID46903.1	late transcription factor VLTF-3	Penguinpox virus	KJ859677	1	1	=	KJ859677.1	PSan92	39	Y
6	A2	VLTF-3	AID46672.1	PROT:AID46672.1	late transcription factor VLTF-3	Pigeonpox virus	KJ801920	1	1	=	KJ801920.1	FeP2	38	Y
6	A2	VLTF-3	ADC53979.1	PROT:ADC53979.1	late transcription factor VLTF3	Pseudocowpox virus	GQ329670	1	1	=	GQ329670.1	VR634	37	Y
6	A2	VLTF-3	ANS71179.1	PROT:ANS71179.1	viral late transcription factor	Pteropox virus	KU980965	1	1	=	KU980965.1	Australia	40	Y
6	A2	VLTF-3	AAF17974.1	PROT:AAF17974.1	gp090L	Rabbit fibroma virus	AF170722	1	1	=	AF170722.1	Kasza	43	Y
6	A2	VLTF-3	AKJ93749.1	PROT:AKJ93749.1	VLTF-3	Raccoonpox virus	KP143769	1	1	=	KP143769.1	Herman	41	Y
6	A2	VLTF-3	AKR04224.1	PROT:AKR04224.1	late transcription factor VLTF3-like protein	Salmon gill poxvirus	KT159937	1	1	=	KT159937.1	2012-04-F277-L3G	46	Y
6	A2	VLTF-3	AWU47135.1	PROT:AWU47135.1	VLTF-3	Sea otter poxvirus	MH427217	1	1	=	MH427217.1	ELK	47	Y
6	A2	VLTF-3	ASC55563.1	PROT:ASC55563.1	late transcription factor VLTF-3-like protein	Seal parapoxvirus	KY382358	1	1	=	KY382358.2	AFK76s1	22	Y
6	A2	VLTF-3	NP_659664.1	PROT:NP_659664.1	Late transcrition factor VLTF-3	Sheeppox virus	NC_004002.1	1	1	=	NC_004002.1	TU-V02127	44	Y
6	A2	VLTF-3	AOP31598.1	PROT:AOP31598.1	vltf-3	Skunkpox virus	KU749310	1	1	=	KU749310.1	WA	45	Y
6	A2	VLTF-3	CCD83272.1	PROT:CCD83272.1	late transcription factor VLTF3	Squirrelpox virus	HE601899	1	1	=	HE601899.1	Red squirrel UK	48	Y
6	A2	VLTF-3	AAL69828.1	PROT:AAL69828.1	SPV089 putative late transcription factor VLTF-3	Swinepox virus	AF410153	1	1	=	AF410153.1	17077-99	49	Y
6	A2	VLTF-3	ABD97688.1	PROT:ABD97688.1	late gene transcription factor VLTF-3	Taterapox virus	DQ437594	1	1	=	DQ437594.1	Dahomey 1968	50	Y
6	A2	VLTF-3	ALA62495.1	PROT:ALA62495.1	late transcription factor VLTF-3	Turkeypox virus	KP728110	1	1	=	KP728110.2	TKPV-HU1124/2011	51	Y
6	A2	VLTF-3	AAO89399.1	PROT:AAO89399.1	late gene transcription factor VLTF-3	Vaccinia virus WR	AY243312	1	1	=	AY243312.1	WR (Western Reserve)	52	Y
6	A2	VLTF-3	CAA49046.1	PROT:CAA49046.1	A2L	Variola virus major	X69198	1	1	=	X69198.1	"India-1967, ssp. major"	53	Y
6	A2	VLTF-3	CAB54705.1	PROT:CAB54705.1	A2L protein	Variola minor virus	Y16780	1	1	=	Y16780.1	Garcia-1966	54	Y
6	A2	VLTF-3	AOP31809.1	PROT:AOP31809.1	vltf-3	Volepox virus	KU749311	1	1	=	KU749311.1	CA	55	Y
6	A2	VLTF-3	ATI21037.1	PROT:ATI21037.1		Western grey kangaroopox virus	MF467280	1	1	=	MF467280.1	Western Australia	56	Y
6	A2	VLTF-3	AAR07448.1	PROT:AAR07448.1	92L	Yaba monkey tumor virus	AY386371	1	1	=	AY386371.1	Yaba monkey tumor virus	59	Y
6	A2	VLTF-3	CAC21330.1	PROT:CAC21330.1	92L protein	Yaba-like disease virus	AJ293568	1	1	=	AJ293568.1	Yaba-like disease virus	58	Y
6	A2	VLTF-3	AEN03691.1	PROT:AEN03691.1	late gene transcription factor VLTF-3	Yokapox virus	HQ849551	1	1	=	HQ849551.1	DakArB 4268	57	Y
7	A32	ATPase DNA packaging protein	CCU55501.1	PROT:CCU55501.1	ATPase/DNA packaging protein	Adoxophyes honmai entomopoxvirus 'L'	HF679131	1	1	=	HF679131.1	Tokyo	3	Y
7	A32	ATPase DNA packaging protein	AXN74948.1	PROT:AXN74948.1	ATPase	Akhmeta virus	MH607141	1	1	=	MH607141.1	Akhmeta_2013-88	4	Y
7	A32	ATPase DNA packaging protein	AAG02856.1	PROT:AAG02856.1	AMV150	Amsacta moorei entomopoxvirus	AF250284	1	1	=	AF250284.1	Amsacta moorei entomopoxvirus	5	Y
7	A32	ATPase DNA packaging protein	BAO49495.1	PROT:BAO49495.1	putative ATP/GTP-binding protein	Anomala cuprea entomopoxvirus	AP013055	1	1	=	AP013055.1	CV6M	2	Y
7	A32	ATPase DNA packaging protein	APG58340.1	PROT:APG58340.1	protein A32	BeAn 58058 virus	KY094066	1	1	=	KY094066.1	BeAn58058	7	N
7	A32	ATPase DNA packaging protein	AAR98465.1	PROT:AAR98465.1	ORF108 DNA packaging protein/ATPase	Bovine papular stomatitis virus	AY386265	1	1	=	AY386265.1	BV-AR02	6	Y
7	A32	ATPase DNA packaging protein	AAG37644.1	PROT:AAG37644.1	CMP149L	Camelpox virus CMS	AY009089	1	1	=	AY009089.1	CMS	9	N
7	A32	ATPase DNA packaging protein	AAL73858.1	PROT:AAL73858.1	putative DNA packaging protein	Camelpox virus M-96	AF438165	1	1	=	AF438165.1	M-96	8	Y
7	A32	ATPase DNA packaging protein	AAR83617.1	PROT:AAR83617.1	CNPV271 DNA packaging protein	Canarypox virus	AY318871	1	1	=	AY318871.1	ATCC VR-111	11	Y
7	A32	ATPase DNA packaging protein	CCU55764.1	PROT:CCU55764.1	ATPase/DNA packaging protein	Choristoneura biennis entomopoxvirus	HF679132	1	1	=	HF679132.1	Choristoneura biennis entomopoxvirus	10	Y
7	A32	ATPase DNA packaging protein	CCU56066.1	PROT:CCU56066.1	ATPase/DNA packaging protein	Choristoneura rosaceana entomopoxvirus 'L'	HF679133	1	1	=	HF679133.1	Choristoneura rosaceana entomopoxvirus 'L'	14	Y
7	A32	ATPase DNA packaging protein	ADT91147.1	PROT:ADT91147.1	DNA packaging protein	Cotia virus SPAn232	HQ647181	1	1	=	HQ647181.2	SPAn232	12	Y
7	A32	ATPase DNA packaging protein	AAM13609.1	PROT:AAM13609.1	CPXV167 protein	Cowpox virus	AF482758	1	1	=	AF482758.2	Brighton Red	13	Y
7	A32	ATPase DNA packaging protein	ABI99286.1	PROT:ABI99286.1	DNA packaging protein	Deerpox virus W-848-83	AY689436	1	1	=	AY689436.1	W-848-83	15	Y
7	A32	ATPase DNA packaging protein	ATI21237.1	PROT:ATI21237.1	ATPase/DNA packaging protein	Eastern grey kangaroopox virus	MF467281	1	1	=	MF467281.1	Sunshine Coast	18	Y
7	A32	ATPase DNA packaging protein	AAM92439.1	PROT:AAM92439.1	EVM134	Ectromelia virus	AF012825	1	1	=	AF012825.2	Moscow	16	Y
7	A32	ATPase DNA packaging protein	AFH54701.1	PROT:AFH54701.1	DNA packaging and ATPase protein	Ectromelia virus ERPV	JQ410350	1	1	=	JQ410350.1	ERPV	17	N
7	A32	ATPase DNA packaging protein	ASK51330.1	PROT:ASK51330.1	ATPase/DNA packaging protein	Eptesipox virus	KY747497	1	1	=	KY747497.1	Washington	19	Y
7	A32	ATPase DNA packaging protein	AUD40306.1	PROT:AUD40306.1	virion assembly protein	Flamingopox virus FGPVKD09	MF678796	1	1	=	MF678796.1	FGPVKD09	20	Y
7	A32	ATPase DNA packaging protein	AAF44541.1	PROT:AAF44541.1	ORF FPV197 Virion assembly protein	Fowlpox virus	AF198100	1	1	=	AF198100.1	Fowlpox virus	21	Y
7	A32	ATPase DNA packaging protein	YP_001293313.1	PROT:YP_001293313.1	hypothetical protein GTPV_gp116	Goatpox virus Pellor	NC_004003.1	1	1	=	NC_004003.1	Pellor	23	Y
7	A32	ATPase DNA packaging protein	ABH08262.1	PROT:ABH08262.1	HSPV153	Horsepox virus	DQ792504	1	1	=	DQ792504.1	MNR-76	24	Y
7	A32	ATPase DNA packaging protein	AAK85082.1	PROT:AAK85082.1	LSDV121 putative DNA packaging protein	Lumpy skin disease virus NI-2490	AF325528	1	1	=	AF325528.1	Neethling 2490	25	Y
7	A32	ATPase DNA packaging protein	AAC97775.1	PROT:AAC97775.1	"ORF MSV171 ATP/GTP binding motif homolog (vaccinia A32L), similar to GB:D11079"	Melanoplus sanguinipes entomopoxvirus 'O'	AF063866	1	1	=	AF063866.1	Tucson	30	Y
7	A32	ATPase DNA packaging protein	AAC55268.1	PROT:AAC55268.1	MC140L	Molluscum contagiosum virus subtype 1	U60315	1	1	=	U60315.1	Molluscum contagiosum virus subtype 1	26	Y
7	A32	ATPase DNA packaging protein	AAX09239.1	PROT:AAX09239.1	MPXV-COP-138	monkeypox virus clade IIa strain cOP-58	AY753185	1	1	=	AY753185.1	COP-58	28	Y
7	A32	ATPase DNA packaging protein	AAL40602.1	PROT:AAL40602.1	A34L	Monkeypox virus clade I strain Zaire-96-I-16	AF380138	1	1	=	AF380138.1	Zaire-96-I-16	29	Y
7	A32	ATPase DNA packaging protein	AST09344.1	PROT:AST09344.1	virion protein	Murmansk poxvirus	MF001304	1	1	=	MF001304.1	LEIV-11411	27	Y
7	A32	ATPase DNA packaging protein	CCU56388.1	PROT:CCU56388.1	ATPase/DNA packaging protein	Mythimna separata entomopoxvirus 'L'	HF679134	1	1	=	HF679134.1	Mythimna separata entomopoxvirus 'L'	31	Y
7	A32	ATPase DNA packaging protein	AAF15008.1	PROT:AAF15008.1	m120L	Myxoma virus strain Lausanne	AF170726	1	1	=	AF170726.2	Lausanne	32	Y
7	A32	ATPase DNA packaging protein	AFU77384.1	PROT:AFU77384.1	m120L	Myxoma virus isolate BRK 897	JX565564	1	1	=	JX565564.1	Aust/Brooklands/1-95	33	N
7	A32	ATPase DNA packaging protein	ABJ09045.1	PROT:ABJ09045.1	ATPase	Nile crocodilepox virus	DQ356948	1	1	=	DQ356948.1	Nile crocodilepox virus	34	Y
7	A32	ATPase DNA packaging protein	ABA00626.1	PROT:ABA00626.1	"ATPase, DNA packaging"	Orf virus strain NZ2	DQ184476	1	1	=	DQ184476.1	NZ2	36	N
7	A32	ATPase DNA packaging protein	AAR98333.1	PROT:AAR98333.1	ORF108 DNA packaging protein/ATPase	Orf virus strain OV-SA00	AY386264	1	1	=	AY386264.1	OV-SA00	35	Y
7	A32	ATPase DNA packaging protein	AYN64719.1	PROT:AYN64719.1	putative A32L protein	Orthopoxvirus Abatino	MH816996	1	1	=	MH816996.1	Abatino	1	Y
7	A32	ATPase DNA packaging protein	AIZ77360.1	PROT:AIZ77360.1	putative DNA packaging protein	Parapoxvirus red deer/HL953	KM502564	1	1	=	KM502564.1	HL953	42	Y
7	A32	ATPase DNA packaging protein	AID46937.1	PROT:AID46937.1	virion assembly protein	Penguinpox virus	KJ859677	1	1	=	KJ859677.1	PSan92	39	Y
7	A32	ATPase DNA packaging protein	AID46705.1	PROT:AID46705.1	virion assembly protein	Pigeonpox virus	KJ801920	1	1	=	KJ801920.1	FeP2	38	Y
7	A32	ATPase DNA packaging protein	ADC54011.1	PROT:ADC54011.1	DNA packaging protein/ATPase	Pseudocowpox virus	GQ329670	1	1	=	GQ329670.1	VR634	37	Y
7	A32	ATPase DNA packaging protein	ANS71211.1	PROT:ANS71211.1	ATPase/DNA packaging protein	Pteropox virus	KU980965	1	1	=	KU980965.1	Australia	40	Y
7	A32	ATPase DNA packaging protein	AAF18002.1	PROT:AAF18002.1	gp120L	Rabbit fibroma virus	AF170722	1	1	=	AF170722.1	Kasza	43	Y
7	A32	ATPase DNA packaging protein	AKJ93782.1	PROT:AKJ93782.1	ATPase	Raccoonpox virus	KP143769	1	1	=	KP143769.1	Herman	41	Y
7	A32	ATPase DNA packaging protein	AKR04192.1	PROT:AKR04192.1	packaging ATPase A32	Salmon gill poxvirus	KT159937	1	1	=	KT159937.1	2012-04-F277-L3G	46	Y
7	A32	ATPase DNA packaging protein	AWU47167.1	PROT:AWU47167.1	ATPase/DNA packaging protein	Sea otter poxvirus	MH427217	1	1	=	MH427217.1	ELK	47	Y
7	A32	ATPase DNA packaging protein	ASC55541.1	PROT:ASC55541.1	putative DNA packaging protein-like protein	Seal parapoxvirus	KY382358	1	1	=	KY382358.2	AFK76s1	22	Y
7	A32	ATPase DNA packaging protein	NP_659693.1	PROT:NP_659693.1	"DNA packaging, virus assembly"	Sheeppox virus	NC_004002.1	1	1	=	NC_004002.1	TU-V02127	44	Y
7	A32	ATPase DNA packaging protein	AOP31631.1	PROT:AOP31631.1	ATPase/DNA packaging protein	Skunkpox virus	KU749310	1	1	=	KU749310.1	WA	45	Y
7	A32	ATPase DNA packaging protein	CCD83304.1	PROT:CCD83304.1	DNA packaging protein ATPase	Squirrelpox virus	HE601899	1	1	=	HE601899.1	Red squirrel UK	48	Y
7	A32	ATPase DNA packaging protein	AAL69857.1	PROT:AAL69857.1	SPV118 DNA packaging protein	Swinepox virus	AF410153	1	1	=	AF410153.1	17077-99	49	Y
7	A32	ATPase DNA packaging protein	ABD97722.1	PROT:ABD97722.1	ATPase	Taterapox virus	DQ437594	1	1	=	DQ437594.1	Dahomey 1968	50	Y
7	A32	ATPase DNA packaging protein	ALA62519.1	PROT:ALA62519.1	virion assembly protein	Turkeypox virus	KP728110	1	1	=	KP728110.2	TKPV-HU1124/2011	51	Y
7	A32	ATPase DNA packaging protein	AAO89434.1	PROT:AAO89434.1	putative ATPase	Vaccinia virus WR	AY243312	1	1	=	AY243312.1	WR (Western Reserve)	52	Y
7	A32	ATPase DNA packaging protein	CAA49080.1	PROT:CAA49080.1	A35L	Variola virus major	X69198	1	1	=	X69198.1	"India-1967, ssp. major"	53	Y
7	A32	ATPase DNA packaging protein	CAB54739.1	PROT:CAB54739.1	A36L protein	Variola minor virus	Y16780	1	1	=	Y16780.1	Garcia-1966	54	Y
7	A32	ATPase DNA packaging protein	AOP31842.1	PROT:AOP31842.1	ATPase/DNA packaging protein	Volepox virus	KU749311	1	1	=	KU749311.1	CA	55	Y
7	A32	ATPase DNA packaging protein	ATI21073.1	PROT:ATI21073.1		Western grey kangaroopox virus	MF467280	1	1	=	MF467280.1	Western Australia	56	Y
7	A32	ATPase DNA packaging protein	AAR07478.1	PROT:AAR07478.1	121L	Yaba monkey tumor virus	AY386371	1	1	=	AY386371.1	Yaba monkey tumor virus	59	Y
7	A32	ATPase DNA packaging protein	CAC21359.1	PROT:CAC21359.1	121L protin	Yaba-like disease virus	AJ293568	1	1	=	AJ293568.1	Yaba-like disease virus	58	Y
7	A32	ATPase DNA packaging protein	AEN03726.1	PROT:AEN03726.1	virion protein	Yokapox virus	HQ849551	1	1	=	HQ849551.1	DakArB 4268	57	Y
8	A3	P4b	CCU55503.1	PROT:CCU55503.1	P4b precursor	Adoxophyes honmai entomopoxvirus 'L'	HF679131	1	1	=	HF679131.1	Tokyo	3	Y
8	A3	P4b	AXN74917.1	PROT:AXN74917.1	P4b precursor	Akhmeta virus	MH607141	1	1	=	MH607141.1	Akhmeta_2013-88	4	Y
8	A3	P4b	AAG02853.1	PROT:AAG02853.1	AMV147	Amsacta moorei entomopoxvirus	AF250284	1	1	=	AF250284.1	Amsacta moorei entomopoxvirus	5	Y
8	A3	P4b	BAO49491.1	PROT:BAO49491.1	putative core protein	Anomala cuprea entomopoxvirus	AP013055	1	1	=	AP013055.1	CV6M	2	Y
8	A3	P4b	APG58313.1	PROT:APG58313.1	major core protein 4b	BeAn 58058 virus	KY094066	1	1	=	KY094066.1	BeAn58058	7	N
8	A3	P4b	AAR98436.1	PROT:AAR98436.1	ORF079 virion core protein P4b precursor	Bovine papular stomatitis virus	AY386265	1	1	=	AY386265.1	BV-AR02	6	Y
8	A3	P4b	AAG37602.1	PROT:AAG37602.1	CMP119L	Camelpox virus CMS	AY009089	1	1	=	AY009089.1	CMS	9	N
8	A3	P4b	AAL73827.1	PROT:AAL73827.1	putative virion core protein P4b	Camelpox virus M-96	AF438165	1	1	=	AF438165.1	M-96	8	Y
8	A3	P4b	AAR83586.1	PROT:AAR83586.1	CNPV240 virion core protein P4b	Canarypox virus	AY318871	1	1	=	AY318871.1	ATCC VR-111	11	Y
8	A3	P4b	CCU55762.1	PROT:CCU55762.1	P4b precursor	Choristoneura biennis entomopoxvirus	HF679132	1	1	=	HF679132.1	Choristoneura biennis entomopoxvirus	10	Y
8	A3	P4b	CCU56064.1	PROT:CCU56064.1	P4b precursor	Choristoneura rosaceana entomopoxvirus 'L'	HF679133	1	1	=	HF679133.1	Choristoneura rosaceana entomopoxvirus 'L'	14	Y
8	A3	P4b	ADT91123.1	PROT:ADT91123.1	core wall protein	Cotia virus SPAn232	HQ647181	1	1	=	HQ647181.2	SPAn232	12	Y
8	A3	P4b	AAM13576.1	PROT:AAM13576.1	CPXV135 protein	Cowpox virus	AF482758	1	1	=	AF482758.2	Brighton Red	13	Y
8	A3	P4b	ABI99258.1	PROT:ABI99258.1	virion core protein P4b	Deerpox virus W-848-83	AY689436	1	1	=	AY689436.1	W-848-83	15	Y
8	A3	P4b	ATI21203.1	PROT:ATI21203.1	P4b precursor	Eastern grey kangaroopox virus	MF467281	1	1	=	MF467281.1	Sunshine Coast	18	Y
8	A3	P4b	AAM92410.1	PROT:AAM92410.1	EVM106	Ectromelia virus	AF012825	1	1	=	AF012825.2	Moscow	16	Y
8	A3	P4b	AFH54669.1	PROT:AFH54669.1	P4B precursor	Ectromelia virus ERPV	JQ410350	1	1	=	JQ410350.1	ERPV	17	N
8	A3	P4b	ASK51300.1	PROT:ASK51300.1	P4b precursor	Eptesipox virus	KY747497	1	1	=	KY747497.1	Washington	19	Y
8	A3	P4b	AUD40274.1	PROT:AUD40274.1	virion core protein P4b	Flamingopox virus FGPVKD09	MF678796	1	1	=	MF678796.1	FGPVKD09	20	Y
8	A3	P4b	AAF44511.1	PROT:AAF44511.1	ORF FPV167 Virion core protein P4b	Fowlpox virus	AF198100	1	1	=	AF198100.1	Fowlpox virus	21	Y
8	A3	P4b	YP_001293285.1	PROT:YP_001293285.1	hypothetical protein GTPV_gp090	Goatpox virus Pellor	NC_004003.1	1	1	=	NC_004003.1	Pellor	23	Y
8	A3	P4b	ABH08229.1	PROT:ABH08229.1	HSPV123	Horsepox virus	DQ792504	1	1	=	DQ792504.1	MNR-76	24	Y
8	A3	P4b	AAK85055.1	PROT:AAK85055.1	LSDV094 putative virion core protein	Lumpy skin disease virus NI-2490	AF325528	1	1	=	AF325528.1	Neethling 2490	25	Y
8	A3	P4b	AAC97680.1	PROT:AAC97680.1	"ORF MSV164 putative core protein, fowlpox virus P4b homolog (vaccinia A3L), similar to SW:P17355"	Melanoplus sanguinipes entomopoxvirus 'O'	AF063866	1	1	=	AF063866.1	Tucson	30	Y
8	A3	P4b	AAC55234.1	PROT:AAC55234.1	MC106L	Molluscum contagiosum virus subtype 1	U60315	1	1	=	U60315.1	Molluscum contagiosum virus subtype 1	26	Y
8	A3	P4b	AAX09209.1	PROT:AAX09209.1	MPXV-COP-108	monkeypox virus clade IIa strain cOP-58	AY753185	1	1	=	AY753185.1	COP-58	28	Y
8	A3	P4b	AAL40572.1	PROT:AAL40572.1	A4L	Monkeypox virus clade I strain Zaire-96-I-16	AF380138	1	1	=	AF380138.1	Zaire-96-I-16	29	Y
8	A3	P4b	AST09313.1	PROT:AST09313.1	p4b precursor of essential virion protein 4b	Murmansk poxvirus	MF001304	1	1	=	MF001304.1	LEIV-11411	27	Y
8	A3	P4b	CCU56384.1	PROT:CCU56384.1	P4b precursor	Mythimna separata entomopoxvirus 'L'	HF679134	1	1	=	HF679134.1	Mythimna separata entomopoxvirus 'L'	31	Y
8	A3	P4b	AAF14980.1	PROT:AAF14980.1	m92L	Myxoma virus strain Lausanne	AF170726	1	1	=	AF170726.2	Lausanne	32	Y
8	A3	P4b	AFU77356.1	PROT:AFU77356.1	m92L	Myxoma virus isolate BRK 897	JX565564	1	1	=	JX565564.1	Aust/Brooklands/1-95	33	N
8	A3	P4b	ABJ09015.1	PROT:ABJ09015.1	virion core protein P4b	Nile crocodilepox virus	DQ356948	1	1	=	DQ356948.1	Nile crocodilepox virus	34	Y
8	A3	P4b	ABA00596.1	PROT:ABA00596.1	"virion core, P4b precursor"	Orf virus strain NZ2	DQ184476	1	1	=	DQ184476.1	NZ2	36	N
8	A3	P4b	AAR98304.1	PROT:AAR98304.1	ORF079 virion core protein P4b precursor	Orf virus strain OV-SA00	AY386264	1	1	=	AY386264.1	OV-SA00	35	Y
8	A3	P4b	AYN64688.1	PROT:AYN64688.1	putative A3L protein	Orthopoxvirus Abatino	MH816996	1	1	=	MH816996.1	Abatino	1	Y
8	A3	P4b	AIZ77330.1	PROT:AIZ77330.1	putative virion core protein P4b precursor	Parapoxvirus red deer/HL953	KM502564	1	1	=	KM502564.1	HL953	42	Y
8	A3	P4b	AID46905.1	PROT:AID46905.1	virion core protein P4b	Penguinpox virus	KJ859677	1	1	=	KJ859677.1	PSan92	39	Y
8	A3	P4b	AID46674.1	PROT:AID46674.1	virion core protein P4b	Pigeonpox virus	KJ801920	1	1	=	KJ801920.1	FeP2	38	Y
8	A3	P4b	ADC53981.1	PROT:ADC53981.1	virion core protein P4b precursor	Pseudocowpox virus	GQ329670	1	1	=	GQ329670.1	VR634	37	Y
8	A3	P4b	ANS71181.1	PROT:ANS71181.1	p4b precursor	Pteropox virus	KU980965	1	1	=	KU980965.1	Australia	40	Y
8	A3	P4b	AAF17976.1	PROT:AAF17976.1	gp092L	Rabbit fibroma virus	AF170722	1	1	=	AF170722.1	Kasza	43	Y
8	A3	P4b	AKJ93751.1	PROT:AKJ93751.1	P4b precursor	Raccoonpox virus	KP143769	1	1	=	KP143769.1	Herman	41	Y
8	A3	P4b	AKR04225.1	PROT:AKR04225.1	P4B major core protein	Salmon gill poxvirus	KT159937	1	1	=	KT159937.1	2012-04-F277-L3G	46	Y
8	A3	P4b	AWU47137.1	PROT:AWU47137.1	P4b precursor	Sea otter poxvirus	MH427217	1	1	=	MH427217.1	ELK	47	Y
8	A3	P4b	ASC55562.1	PROT:ASC55562.1	virion core protein P4b precursor-like protein	Seal parapoxvirus	KY382358	1	1	=	KY382358.2	AFK76s1	22	Y
8	A3	P4b	NP_659666.1	PROT:NP_659666.1	Virion core protein P4b	Sheeppox virus	NC_004002.1	1	1	=	NC_004002.1	TU-V02127	44	Y
8	A3	P4b	AOP31600.1	PROT:AOP31600.1	p4b precursor	Skunkpox virus	KU749310	1	1	=	KU749310.1	WA	45	Y
8	A3	P4b	CCD83274.1	PROT:CCD83274.1	precursor of core protein 4b	Squirrelpox virus	HE601899	1	1	=	HE601899.1	Red squirrel UK	48	Y
8	A3	P4b	AAL69830.1	PROT:AAL69830.1	SPV091 putative virion core protein P4b	Swinepox virus	AF410153	1	1	=	AF410153.1	17077-99	49	Y
8	A3	P4b	ABD97690.1	PROT:ABD97690.1	p4b precursor of core protein 4b	Taterapox virus	DQ437594	1	1	=	DQ437594.1	Dahomey 1968	50	Y
8	A3	P4b	ALA62496.1	PROT:ALA62496.1	virion core protein P4b	Turkeypox virus	KP728110	1	1	=	KP728110.2	TKPV-HU1124/2011	51	Y
8	A3	P4b	AAO89401.1	PROT:AAO89401.1	p4b precursor of core protein 4b	Vaccinia virus WR	AY243312	1	1	=	AY243312.1	WR (Western Reserve)	52	Y
8	A3	P4b	CAA49048.1	PROT:CAA49048.1	A3L	Variola virus major	X69198	1	1	=	X69198.1	"India-1967, ssp. major"	53	Y
8	A3	P4b	CAB54707.1	PROT:CAB54707.1	A4L protein	Variola minor virus	Y16780	1	1	=	Y16780.1	Garcia-1966	54	Y
8	A3	P4b	AOP31811.1	PROT:AOP31811.1	p4b precursor	Volepox virus	KU749311	1	1	=	KU749311.1	CA	55	Y
8	A3	P4b	ATI21039.1	PROT:ATI21039.1		Western grey kangaroopox virus	MF467280	1	1	=	MF467280.1	Western Australia	56	Y
8	A3	P4b	AAR07450.1	PROT:AAR07450.1	94L	Yaba monkey tumor virus	AY386371	1	1	=	AY386371.1	Yaba monkey tumor virus	59	Y
8	A3	P4b	CAC21332.1	PROT:CAC21332.1	94L protein	Yaba-like disease virus	AJ293568	1	1	=	AJ293568.1	Yaba-like disease virus	58	Y
8	A3	P4b	AEN03693.1	PROT:AEN03693.1	p4b precursor of essential virion protein 4b	Yokapox virus	HQ849551	1	1	=	HQ849551.1	DakArB 4268	57	Y
9	A7	VETF-L	CCU55427.1	PROT:CCU55427.1	VETF-L early transcription factor large	Adoxophyes honmai entomopoxvirus 'L'	HF679131	1	1	=	HF679131.1	Tokyo	3	Y
9	A7	VETF-L	AXN74921.1	PROT:AXN74921.1	early gene transcription factor	Akhmeta virus	MH607141	1	1	=	MH607141.1	Akhmeta_2013-88	4	Y
9	A7	VETF-L	AAG02811.1	PROT:AAG02811.1	AMV105	Amsacta moorei entomopoxvirus	AF250284	1	1	=	AF250284.1	Amsacta moorei entomopoxvirus	5	Y
9	A7	VETF-L	BAO49547.1	PROT:BAO49547.1	putative early transcription factor large subuni	Anomala cuprea entomopoxvirus	AP013055	1	1	=	AP013055.1	CV6M	2	Y
9	A7	VETF-L	APG58317.1	PROT:APG58317.1	early transcription factor 82 kDa subuni	BeAn 58058 virus	KY094066	1	1	=	KY094066.1	BeAn58058	7	N
9	A7	VETF-L	AAR98440.1	PROT:AAR98440.1	ORF083 early transcription factor VETFL	Bovine papular stomatitis virus	AY386265	1	1	=	AY386265.1	BV-AR02	6	Y
9	A7	VETF-L	AAG37608.1	PROT:AAG37608.1	CMP123L	Camelpox virus CMS	AY009089	1	1	=	AY009089.1	CMS	9	N
9	A7	VETF-L	AAL73831.1	PROT:AAL73831.1	putative early transcription factor VETFL	Camelpox virus M-96	AF438165	1	1	=	AF438165.1	M-96	8	Y
9	A7	VETF-L	AAR83590.1	PROT:AAR83590.1	CNPV244 early transcription factor large subunit VETFL	Canarypox virus	AY318871	1	1	=	AY318871.1	ATCC VR-111	11	Y
9	A7	VETF-L	CCU55727.1	PROT:CCU55727.1	VETF-L early transcription factor large	Choristoneura biennis entomopoxvirus	HF679132	1	1	=	HF679132.1	Choristoneura biennis entomopoxvirus	10	Y
9	A7	VETF-L	CCU56029.1	PROT:CCU56029.1	VETF-L early transcription factor large	Choristoneura rosaceana entomopoxvirus 'L'	HF679133	1	1	=	HF679133.1	Choristoneura rosaceana entomopoxvirus 'L'	14	Y
